gap_type,alpha,xmin_s,xmin_h
global,1.617204,3340.000000,0.927778
global,1.802027,3871.000000,1.075278
global,1.638208,140.000000,0.038889
global,1.359349,127.000000,0.035278
global,1.314004,208.000000,0.057778
global,4.504115,49693.000000,13.803611
global,4.243533,47607.000000,13.224167
global,1.906676,4095.000000,1.137500
global,1.353383,14.000000,0.003889
global,1.815495,4238.000000,1.177222
global,1.444353,270.000000,0.075000
global,3.224058,43334.000000,12.037222
global,3.960471,76858.000000,21.349444
global,4.177474,35037.000000,9.732500
global,2.016557,2183.000000,0.606389
global,4.168930,34538.000000,9.593889
global,1.639139,22.000000,0.006111
global,1.705161,392.000000,0.108889
global,1.290120,12.000000,0.003333
global,1.470035,148.000000,0.041111
global,2.009333,2575.000000,0.715278
global,2.699989,46791.000000,12.997500
global,1.951077,10903.000000,3.028611
global,1.486496,1751.000000,0.486389
global,1.930068,3749.000000,1.041389
global,1.508345,121.000000,0.033611
global,1.311765,14.000000,0.003889
global,1.765869,5500.000000,1.527778
global,10.834878,56033.000000,15.564722
global,2.529630,20080.000000,5.577778
global,1.527078,1217.000000,0.338056
global,1.799063,99.000000,0.027500
global,1.855767,329.000000,0.091389
global,1.262084,47.000000,0.013056
global,1.608799,2029.000000,0.563611
global,1.452978,77.000000,0.021389
global,4.647810,39332.000000,10.925556
global,1.612105,90.000000,0.025000
global,2.880878,36049.000000,10.013611
global,3.208416,43877.000000,12.188056
global,1.309027,124.000000,0.034444
global,1.363774,228.000000,0.063333
global,4.196106,49760.000000,13.822222
global,1.305482,46.000000,0.012778
global,3.934046,32606.000000,9.057222
global,1.460148,180.000000,0.050000
global,2.345046,29847.000000,8.290833
global,1.553519,5801.000000,1.611389
global,2.864691,25768.000000,7.157778
global,2.006489,1676.000000,0.465556
global,2.163962,6836.000000,1.898889
global,1.451531,95.000000,0.026389
global,4.392665,48435.000000,13.454167
global,1.362114,81.000000,0.022500
global,1.500808,298.000000,0.082778
global,1.367920,132.000000,0.036667
global,2.471639,29399.000000,8.166389
global,1.375476,73.000000,0.020278
global,1.396006,542.000000,0.150556
global,2.480479,35588.000000,9.885556
global,1.476682,1110.000000,0.308333
global,1.687265,2528.000000,0.702222
global,1.304600,73.000000,0.020278
global,1.996493,2655.000000,0.737500
global,4.025244,76312.000000,21.197778
global,1.287031,51.000000,0.014167
global,2.847056,46870.000000,13.019444
global,1.407411,90.000000,0.025000
global,1.742995,3711.000000,1.030833
global,1.517141,1039.000000,0.288611
global,1.565128,261.000000,0.072500
global,1.789192,248.000000,0.068889
global,1.363659,72.000000,0.020000
global,2.069293,8781.000000,2.439167
global,3.834034,40767.000000,11.324167
global,3.900350,56661.000000,15.739167
global,1.419319,131.000000,0.036389
global,4.783958,76310.000000,21.197222
global,2.707861,23876.000000,6.632222
global,2.835433,48418.000000,13.449444
global,1.923446,4147.000000,1.151944
global,2.109590,6315.000000,1.754167
global,4.238842,37679.000000,10.466389
global,3.538278,35388.000000,9.830000
global,1.412733,35.000000,0.009722
global,1.436376,53.000000,0.014722
global,2.004627,8031.000000,2.230833
global,3.839705,48391.000000,13.441944
global,1.278268,6.000000,0.001667
global,7.198543,17275.000000,4.798611
global,1.538761,605.000000,0.168056
global,3.768896,48771.000000,13.547500
global,2.720752,34361.000000,9.544722
global,1.382212,42.000000,0.011667
global,1.951155,2489.000000,0.691389
global,1.520939,551.000000,0.153056
global,2.392905,39357.000000,10.932500
global,1.279882,107.000000,0.029722
global,2.805015,30784.000000,8.551111
global,1.936974,4582.000000,1.272778
global,1.443423,224.000000,0.062222
